Time,strategy,fog_count
7.25,Cyclic,999.36
7.25,Opportunistic,997.62
7.25,Aggressive,992.84
7.3,Balanced,997.42
7.3,Opportunistic,997.58
7.3,Aggressive,992.82
7.3,Cyclic,999.36
7.3,Conservative,999.6
7.35,Conservative,999.6
7.35,Cyclic,999.34
7.35,Opportunistic,997.58
7.35,Balanced,997.38
7.35,Aggressive,992.72
7.4,Cyclic,999.3
7.4,Opportunistic,997.58
7.4,Balanced,997.34
7.4,Conservative,999.58
7.4,Aggressive,992.68
7.45,Conservative,999.54
7.45,Opportunistic,997.56
7.45,Cyclic,999.28
7.45,Aggressive,992.54
7.45,Balanced,997.3
7.5,Cyclic,999.28
7.5,Opportunistic,997.54
7.5,Aggressive,992.46
7.5,Conservative,999.54
7.5,Balanced,997.26
7.55,Opportunistic,997.52
7.55,Conservative,999.54
7.55,Balanced,997.22
7.55,Aggressive,992.36
7.55,Cyclic,999.28
7.6,Conservative,999.54
7.6,Balanced,997.2
7.6,Opportunistic,997.52
7.6,Cyclic,999.28
7.6,Aggressive,992.32
7.65,Conservative,999.54
7.65,Cyclic,999.28
7.65,Aggressive,992.14
7.65,Opportunistic,997.48
7.65,Balanced,997.16
7.7,Opportunistic,997.46
7.7,Aggressive,992.1
7.7,Conservative,999.52
7.7,Cyclic,999.26
7.7,Balanced,997.14
7.75,Aggressive,991.96
7.75,Opportunistic,997.46
7.75,Cyclic,999.26
7.75,Conservative,999.5
7.75,Balanced,997.1
7.8,Conservative,999.48
7.8,Aggressive,991.86
7.8,Balanced,997.02
7.8,Opportunistic,997.42
7.8,Cyclic,999.24
7.85,Opportunistic,997.42
7.85,Aggressive,991.78
7.85,Cyclic,999.18
7.85,Balanced,997.02
7.85,Conservative,999.48
7.9,Aggressive,991.68
7.9,Cyclic,999.18
7.9,Conservative,999.48
7.9,Balanced,996.94
7.9,Opportunistic,997.36
7.95,Aggressive,991.5
7.95,Opportunistic,997.34
7.95,Balanced,996.94
7.95,Cyclic,999.16
7.95,Conservative,999.46
8.0,Balanced,996.9
8.0,Opportunistic,997.24
8.0,Cyclic,999.14
8.0,Aggressive,991.42
8.0,Conservative,999.46
8.05,Conservative,999.46
8.05,Opportunistic,997.22
8.05,Aggressive,991.28
8.05,Balanced,996.88
8.05,Cyclic,999.14
8.1,Cyclic,999.12
8.1,Conservative,999.44
8.1,Balanced,996.82
8.1,Aggressive,991.22
8.1,Opportunistic,997.22
8.15,Conservative,999.42
8.15,Cyclic,999.12
8.15,Opportunistic,997.18
8.15,Balanced,996.8
8.15,Aggressive,991.1
8.2,Opportunistic,997.08
8.2,Conservative,999.42
8.2,Cyclic,999.1
8.2,Aggressive,991.04
8.2,Balanced,996.76
8.25,Conservative,999.42
8.25,Opportunistic,997.04
8.25,Balanced,996.74
8.25,Cyclic,999.08
8.25,Aggressive,990.96
8.3,Aggressive,990.88
8.3,Conservative,999.42
8.3,Opportunistic,997.02
8.3,Balanced,996.72
8.3,Cyclic,999.04
8.35,Conservative,999.42
8.35,Balanced,996.68
8.35,Opportunistic,996.98
8.35,Aggressive,990.72
8.35,Cyclic,999.04
8.4,Opportunistic,996.92
8.4,Conservative,999.42
8.4,Cyclic,999.04
8.4,Balanced,996.64
8.4,Aggressive,990.62
8.45,Balanced,996.64
8.45,Conservative,999.4
8.45,Cyclic,999.04
8.45,Opportunistic,996.86
8.45,Aggressive,990.52
8.5,Balanced,996.6
8.5,Cyclic,999.04
8.5,Aggressive,990.4
8.5,Opportunistic,996.86
8.5,Conservative,999.4
8.55,Aggressive,990.26
8.55,Balanced,996.6
8.55,Cyclic,999.04
8.55,Opportunistic,996.82
8.55,Conservative,999.4
8.6,Balanced,996.58
8.6,Conservative,999.4
8.6,Opportunistic,996.82
8.6,Cyclic,999.02
8.6,Aggressive,990.2
8.65,Aggressive,990.08
8.65,Conservative,999.38
8.65,Opportunistic,996.8
8.65,Balanced,996.5
8.65,Cyclic,999.0
8.7,Opportunistic,996.78
8.7,Conservative,999.38
8.7,Aggressive,989.98
8.7,Balanced,996.44
8.7,Cyclic,999.0
8.75,Cyclic,998.98
8.75,Opportunistic,996.72
8.75,Conservative,999.38
8.75,Balanced,996.42
8.75,Aggressive,989.82
8.8,Opportunistic,996.7
8.8,Conservative,999.34
8.8,Aggressive,989.72
8.8,Cyclic,998.94
8.8,Balanced,996.4
8.85,Aggressive,989.64
8.85,Opportunistic,996.62
8.85,Cyclic,998.94
8.85,Balanced,996.34
8.85,Conservative,999.34
8.9,Aggressive,989.58
8.9,Balanced,996.28
8.9,Opportunistic,996.6
8.9,Cyclic,998.94
8.9,Conservative,999.34
8.95,Cyclic,998.9
8.95,Conservative,999.3
8.95,Balanced,996.26
8.95,Aggressive,989.46
8.95,Opportunistic,996.52
9.0,Opportunistic,996.52
9.0,Cyclic,998.86
9.0,Balanced,996.18
9.0,Conservative,999.3
9.0,Aggressive,989.38
9.05,Conservative,999.3
9.05,Balanced,996.16
9.05,Cyclic,998.82
9.05,Opportunistic,996.48
9.05,Aggressive,989.32
9.1,Aggressive,989.22
9.1,Balanced,996.1
9.1,Conservative,999.28
9.1,Cyclic,998.8
9.1,Opportunistic,996.46
9.15,Aggressive,989.18
9.15,Cyclic,998.8
9.15,Conservative,999.28
9.15,Balanced,996.1
9.15,Opportunistic,996.44
9.2,Opportunistic,996.4
9.2,Aggressive,989.04
9.2,Cyclic,998.76
9.2,Conservative,999.26
9.2,Balanced,996.06
9.25,Conservative,999.24
9.25,Cyclic,998.76
9.25,Balanced,996.04
9.25,Aggressive,988.92
9.25,Opportunistic,996.34
9.3,Conservative,999.24
9.3,Balanced,996.0
9.3,Opportunistic,996.28
9.3,Aggressive,988.88
9.3,Cyclic,998.76
9.35,Opportunistic,996.28
9.35,Balanced,995.96
9.35,Conservative,999.24
9.35,Cyclic,998.76
9.35,Aggressive,988.84
9.4,Opportunistic,996.22
9.4,Aggressive,988.76
9.4,Conservative,999.24
9.4,Cyclic,998.76
9.4,Balanced,995.92
9.45,Aggressive,988.52
9.45,Opportunistic,996.2
9.45,Cyclic,998.76
9.45,Balanced,995.88
9.45,Conservative,999.24
9.5,Balanced,995.88
9.5,Aggressive,988.38
9.5,Conservative,999.24
9.5,Cyclic,998.74
9.5,Opportunistic,996.18
9.55,Cyclic,998.74
