Time,strategy,avg_profit
2.45,Opportunistic,-0.03671637042923488
2.5,Aggressive,-0.049450632829468696
2.5,Conservative,-0.015411266669000492
2.5,Opportunistic,-0.037601763974415704
2.5,Cyclic,-0.04874646180588257
2.5,Balanced,-0.03238936805167596
2.55,Balanced,-0.03296895952155747
2.55,Conservative,-0.015716289423109996
2.55,Cyclic,-0.049473221846815324
2.55,Opportunistic,-0.038239033578289776
2.55,Aggressive,-0.050183199081611764
2.6,Cyclic,-0.05027069171287026
2.6,Balanced,-0.03364853355711292
2.6,Conservative,-0.01591176887843614
2.6,Opportunistic,-0.039080424656572216
2.6,Aggressive,-0.0507272251359324
2.65,Balanced,-0.03440314884178482
2.65,Aggressive,-0.05193860782723559
2.65,Opportunistic,-0.03974411178255049
2.65,Conservative,-0.016148365291605626
2.65,Cyclic,-0.051241980933527165
2.7,Cyclic,-0.05200002773547111
2.7,Aggressive,-0.052997443040079736
2.7,Conservative,-0.016401170218151042
2.7,Opportunistic,-0.04043077223668811
2.7,Balanced,-0.0350710539542717
2.75,Conservative,-0.016643187836633867
2.75,Opportunistic,-0.040859912594319134
2.75,Cyclic,-0.05290040212316217
2.75,Balanced,-0.03553938952361354
2.75,Aggressive,-0.053676402024286876
2.8,Cyclic,-0.0535289934300491
2.8,Opportunistic,-0.041556106128333346
2.8,Conservative,-0.016862078509690463
2.8,Aggressive,-0.05453638470168253
2.8,Balanced,-0.03608285844439589
2.85,Cyclic,-0.054075714122160556
2.85,Aggressive,-0.055483970054485264
2.85,Conservative,-0.017208945243676218
2.85,Balanced,-0.036725614256230166
2.85,Opportunistic,-0.042129867053910725
2.9,Cyclic,-0.05499623127090861
2.9,Conservative,-0.01747442796977026
2.9,Opportunistic,-0.04308795630885751
2.9,Balanced,-0.03722039274808442
2.9,Aggressive,-0.056458593152665076
2.95,Opportunistic,-0.04349009511047436
2.95,Balanced,-0.0378987337182585
2.95,Aggressive,-0.05717569088416028
2.95,Conservative,-0.01799329515048619
2.95,Cyclic,-0.055833287002274294
3.0,Cyclic,-0.056811557699842
3.0,Balanced,-0.03812822913857511
3.0,Conservative,-0.018214752976311258
3.0,Opportunistic,-0.04406507431116866
3.0,Aggressive,-0.05790635510164056
3.05,Aggressive,-0.058638779071303666
3.05,Cyclic,-0.057650598919666445
3.05,Balanced,-0.038642128635488854
3.05,Conservative,-0.018538853084869945
3.05,Opportunistic,-0.04450286328626477
3.1,Balanced,-0.03919356866920626
3.1,Opportunistic,-0.0454105246818215
3.1,Conservative,-0.018769253823549957
3.1,Cyclic,-0.058703002991438685
3.1,Aggressive,-0.05933825321125426
3.15,Opportunistic,-0.04599842150929769
3.15,Conservative,-0.018941407453881037
3.15,Balanced,-0.03985433939170755
3.15,Aggressive,-0.059972762981937516
3.15,Cyclic,-0.05990108712531811
3.2,Cyclic,-0.060668505792280863
3.2,Conservative,-0.019173462598031644
3.2,Aggressive,-0.06068365643651017
3.2,Balanced,-0.040608054375935516
3.2,Opportunistic,-0.046748152633659654
3.25,Aggressive,-0.061374806723701436
3.25,Cyclic,-0.06150816284641881
3.25,Conservative,-0.019284030505207474
3.25,Opportunistic,-0.04748680583313934
3.25,Balanced,-0.041049075566912674
3.3,Balanced,-0.041618872911008624
3.3,Conservative,-0.01940796753090369
3.3,Opportunistic,-0.04811372205524047
3.3,Aggressive,-0.0621463454632246
3.3,Cyclic,-0.06254461431056801
3.35,Balanced,-0.04212292565420582
3.35,Cyclic,-0.06343986124082364
3.35,Conservative,-0.019760994672769122
3.35,Opportunistic,-0.04876280719609582
3.35,Aggressive,-0.06283065794848185
3.4,Cyclic,-0.06440073831156662
3.4,Balanced,-0.04266113979686425
3.4,Aggressive,-0.06337574461091773
3.4,Conservative,-0.020025198395249643
3.4,Opportunistic,-0.049231394650905494
3.45,Opportunistic,-0.04951489377874805
3.45,Aggressive,-0.06409591102905901
3.45,Conservative,-0.020222101523312844
3.45,Balanced,-0.043150662468628725
3.45,Cyclic,-0.06520092161250358
3.5,Cyclic,-0.06605477893707738
3.5,Aggressive,-0.06485374721768082
3.5,Balanced,-0.04398219604430596
3.5,Opportunistic,-0.05002450848712409
3.5,Conservative,-0.020547578696212966
3.55,Conservative,-0.02071852125864274
3.55,Opportunistic,-0.05037459470670192
3.55,Aggressive,-0.06578427700509965
3.55,Cyclic,-0.0667073011741543
3.55,Balanced,-0.044555341075926354
3.6,Opportunistic,-0.050854927767890426
