Time,strategy,avg_reputation
140.0,Opportunistic,6.87370884737213
140.0,Aggressive,6.790506353697707
140.0,Balanced,6.913044123054301
141.0,Progressive,6.907511779701106
141.0,Opportunistic,6.8728055653330475
141.0,Aggressive,6.789031094858114
141.0,Conservative,7.048876749877074
141.0,Balanced,6.912596632967197
142.0,Conservative,7.048856890177696
142.0,Opportunistic,6.871884161682979
142.0,Balanced,6.91207307716315
142.0,Aggressive,6.787171625907141
142.0,Progressive,6.906948540867334
143.0,Opportunistic,6.871320711095105
143.0,Progressive,6.906325523137878
143.0,Balanced,6.91161006452055
143.0,Aggressive,6.785963529422564
143.0,Conservative,7.049398355977943
144.0,Opportunistic,6.870151937926255
144.0,Conservative,7.050139919986962
144.0,Aggressive,6.78437142082507
144.0,Progressive,6.9055240994676685
144.0,Balanced,6.910508160249256
145.0,Balanced,6.910105913996815
145.0,Opportunistic,6.869303767299739
145.0,Conservative,7.050641862209866
145.0,Aggressive,6.782989826632315
145.0,Progressive,6.904678851601674
146.0,Opportunistic,6.86881936292893
146.0,Balanced,6.908863022536566
146.0,Conservative,7.050962162911609
146.0,Progressive,6.904453058794961
146.0,Aggressive,6.782029589005779
147.0,Opportunistic,6.867877516585156
147.0,Conservative,7.0514226639743995
147.0,Balanced,6.908294189631597
147.0,Progressive,6.904105371863396
147.0,Aggressive,6.780742946208145
148.0,Conservative,7.051782683673216
148.0,Opportunistic,6.867412017592293
148.0,Aggressive,6.7792251216564345
148.0,Progressive,6.903483806765206
148.0,Balanced,6.907690747918516
149.0,Opportunistic,6.866583751824675
149.0,Aggressive,6.7776117727676315
149.0,Conservative,7.052324586217526
149.0,Progressive,6.902699983022587
149.0,Balanced,6.906929183379328
150.0,Progressive,6.9020138272782665
150.0,Aggressive,6.776615123244245
150.0,Balanced,6.905902170178049
150.0,Conservative,7.052504586578968
150.0,Opportunistic,6.865601745642184
151.0,Aggressive,6.775076828673641
151.0,Balanced,6.905000728666799
151.0,Opportunistic,6.864878170263564
151.0,Progressive,6.901492844085833
151.0,Conservative,7.053206068783099
152.0,Conservative,7.053086109224583
152.0,Balanced,6.903953265991516
152.0,Opportunistic,6.864251200168605
152.0,Aggressive,6.773571849511859
152.0,Progressive,6.9008468536074625
153.0,Progressive,6.900385950254267
153.0,Aggressive,6.772001964651951
153.0,Opportunistic,6.863409976457031
153.0,Conservative,7.053429375015907
153.0,Balanced,6.903866991677522
154.0,Progressive,6.899862675538126
154.0,Conservative,7.053809655737751
154.0,Balanced,6.903521471638235
154.0,Aggressive,6.7701714359570895
154.0,Opportunistic,6.862845808311039
155.0,Progressive,6.899080910279735
155.0,Conservative,7.054430356879895
155.0,Aggressive,6.768874663341713
155.0,Balanced,6.902418340470844
155.0,Opportunistic,6.862076182043608
156.0,Aggressive,6.767497141403956
156.0,Conservative,7.054970657300556
156.0,Balanced,6.901213466333499
156.0,Progressive,6.898780268474398
156.0,Opportunistic,6.86142915652941
157.0,Progressive,6.89779806056242
157.0,Aggressive,6.7660879115303025
157.0,Opportunistic,6.860381478832448
157.0,Balanced,6.9013461525292765
157.0,Conservative,7.055632539704245
158.0,Balanced,6.900882254375257
158.0,Progressive,6.896914033876409
158.0,Aggressive,6.764193136265386
158.0,Opportunistic,6.859356269930982
