Time,strategy,avg_collateral
5.5,Opportunistic,4.939649421931444
5.5,Balanced,4.946463188230748
5.55,Conservative,4.982077857857857
5.55,Balanced,4.9458591339069775
5.55,Progressive,4.918039673907967
5.55,Aggressive,4.920271547094726
5.55,Opportunistic,4.939229101330161
5.6,Conservative,4.9819178378378375
5.6,Aggressive,4.9196063903835245
5.6,Opportunistic,4.938748760748978
5.6,Progressive,4.917217625343797
5.6,Balanced,4.945416446162138
5.65,Opportunistic,4.93812815950597
5.65,Aggressive,4.918842875544588
5.65,Progressive,4.916751309452428
5.65,Conservative,4.981757837837838
5.65,Balanced,4.944833694097849
5.7,Conservative,4.981517837837838
5.7,Balanced,4.944392011653279
5.7,Opportunistic,4.9375850534737245
5.7,Progressive,4.916029602637162
5.7,Aggressive,4.918234420625813
5.75,Balanced,4.943951410128824
5.75,Progressive,4.915366359286057
5.75,Opportunistic,4.937004492350997
5.75,Conservative,4.981297837837838
5.75,Aggressive,4.917688349473691
5.8,Progressive,4.914662848512919
5.8,Conservative,4.981197817817819
5.8,Aggressive,4.916879695598767
5.8,Balanced,4.943369585016415
5.8,Opportunistic,4.936343971308551
5.85,Aggressive,4.916234800758855
5.85,Opportunistic,4.936000902258995
5.85,Balanced,4.942927780084627
5.85,Conservative,4.981037417417418
5.85,Progressive,4.913880861097992
5.9,Opportunistic,4.935617915945667
5.9,Conservative,4.980877397397398
5.9,Aggressive,4.9156699543940245
5.9,Balanced,4.942624861528757
5.9,Progressive,4.913377490060878
5.95,Conservative,4.980697357357358
5.95,Aggressive,4.914885934459467
5.95,Balanced,4.942222013510157
5.95,Opportunistic,4.935155930512978
5.95,Progressive,4.912606571031686
6.0,Aggressive,4.914162335748341
6.0,Balanced,4.941581131545304
6.0,Opportunistic,4.934612821503622
6.0,Conservative,4.980537357357358
6.0,Progressive,4.911959836793929
6.05,Conservative,4.980496836836838
6.05,Aggressive,4.913337193826977
6.05,Balanced,4.941139263817187
6.05,Progressive,4.911254311099675
6.05,Opportunistic,4.934229855611275
6.1,Conservative,4.980396796796797
6.1,Opportunistic,4.933649415010233
6.1,Aggressive,4.912650515952022
6.1,Progressive,4.910684758352363
6.1,Balanced,4.940718862975222
6.15,Opportunistic,4.93320899426873
6.15,Balanced,4.940298381851852
6.15,Progressive,4.909778467224952
6.15,Aggressive,4.912041807303097
6.15,Conservative,4.980216776776777
6.2,Balanced,4.9399366116408965
6.2,Progressive,4.909170961365463
6.2,Conservative,4.980016776776777
6.2,Opportunistic,4.932548353025923
6.2,Aggressive,4.91146020135822
6.25,Progressive,4.90852937571926
6.25,Balanced,4.939534287993276
6.25,Aggressive,4.910650615170101
6.25,Opportunistic,4.9320624472463
6.25,Conservative,4.979916736736737
6.3,Progressive,4.907819520532557
6.3,Aggressive,4.909967013341471
6.3,Opportunistic,4.931560284201008
6.3,Balanced,4.93909222195689
6.3,Conservative,4.979636676676676
6.35,Conservative,4.979496676676677
6.35,Progressive,4.907276178152814
6.35,Opportunistic,4.930838035369865
6.35,Balanced,4.938669157970094
6.35,Aggressive,4.90941793512542
6.4,Balanced,4.9382883759441345
6.4,Progressive,4.906467165814124
6.4,Conservative,4.979356576576577
6.4,Opportunistic,4.930315952685495
6.4,Aggressive,4.9087236264371885
6.45,Conservative,4.979276536536537
6.45,Aggressive,4.907935600144472
6.45,Opportunistic,4.929772588920446
6.45,Balanced,4.937887975423374
6.45,Progressive,4.9057227970130155
6.5,Aggressive,4.907229512536244
6.5,Conservative,4.9790960751934294
6.5,Opportunistic,4.9292520477374975
6.5,Balanced,4.937386992393238
6.5,Progressive,4.90503249783529
6.55,Progressive,4.904466664240419
6.55,Opportunistic,4.928910277204129
6.55,Aggressive,4.906559719296734
6.55,Conservative,4.97889601513337
6.55,Balanced,4.936804622959685
6.6,Aggressive,4.90579147616797
6.6,Opportunistic,4.928369555599918
6.6,Balanced,4.936342790904464
6.6,Conservative,4.97881601513337
6.6,Progressive,4.903878654645915
6.65,Opportunistic,4.927808994276106
6.65,Conservative,4.97857589497313
6.65,Progressive,4.903110554398876
6.65,Aggressive,4.905165517146186
6.65,Balanced,4.93594226962045
6.7,Opportunistic,4.927245802079143
6.7,Progressive,4.902458249827544
6.7,Aggressive,4.904401029765537
6.7,Conservative,4.97839585493309
6.7,Balanced,4.935221367675093
6.75,Progressive,4.901633974784238
6.75,Conservative,4.978275494572729
6.75,Balanced,4.934580385127368
6.75,Opportunistic,4.92670351855132
6.75,Aggressive,4.903596240309226
6.8,Opportunistic,4.9261227369672875
6.8,Balanced,4.9341998236824685
6.8,Progressive,4.901047138280137
6.8,Aggressive,4.903026712813544
6.8,Conservative,4.9780954545326885
6.85,Aggressive,4.902296315738262
6.85,Opportunistic,4.925639367424798
6.85,Balanced,4.93377794119842
6.85,Conservative,4.977975434512669
6.85,Progressive,4.900480681553479
6.9,Balanced,4.933337098870468
6.9,Progressive,4.8995971234268945
6.9,Conservative,4.977795434512669
6.9,Aggressive,4.901736192400765
6.9,Opportunistic,4.925097201611328
6.95,Conservative,4.977675414492649
6.95,Progressive,4.898690224637975
6.95,Balanced,4.932955396405635
6.95,Aggressive,4.901064264011339
6.95,Opportunistic,4.924454537864331
7.0,Opportunistic,4.923853515397167
7.0,Balanced,4.932514795041299
7.0,Aggressive,4.900620707726954
7.0,Conservative,4.977555354432589
7.0,Progressive,4.8979732637218865
7.05,Conservative,4.977314713791948
7.05,Aggressive,4.899927674325887
7.05,Balanced,4.9320126316341995
7.05,Progressive,4.897329603897733
7.05,Opportunistic,4.923453074595281
7.1,Conservative,4.977194673751908
7.1,Balanced,4.931670685999742
7.1,Aggressive,4.899204678734111
7.1,Progressive,4.89662467467252
7.1,Opportunistic,4.922992393030746
7.15,Conservative,4.976974553631788
7.15,Progressive,4.895942021677393
7.15,Opportunistic,4.922632092569844
7.15,Balanced,4.931008540084603
7.15,Aggressive,4.898559765846217
7.2,Aggressive,4.89788773748536
7.2,Progressive,4.89527085238264
7.2,Balanced,4.930627838299568
7.2,Opportunistic,4.922069763055489
7.2,Conservative,4.9767745135917485
7.25,Aggressive,4.897397327697076
7.25,Conservative,4.976634473551709
7.25,Progressive,4.894604749220688
7.25,Opportunistic,4.921629202093604
7.25,Balanced,4.930184391124093
7.3,Aggressive,4.896829122877224
7.3,Opportunistic,4.9212872195494555
7.3,Balanced,4.929621924246708
7.3,Progressive,4.893835812358746
7.3,Conservative,4.976494473551708
7.35,Opportunistic,4.9207247093727515
7.35,Progressive,4.893030465747078
7.35,Aggressive,4.896256458824451
7.35,Conservative,4.976234353391468
7.35,Balanced,4.929078064541611
7.4,Balanced,4.928715857600378
7.4,Opportunistic,4.920364188250065
7.4,Aggressive,4.89535078389269
7.4,Progressive,4.892303384396277
7.4,Conservative,4.976093751547139
7.45,Opportunistic,4.919821801532759
7.45,Balanced,4.928232459456837
7.45,Aggressive,4.894661827159456
7.45,Conservative,4.9759937115070985
7.45,Progressive,4.8915358439922985
7.5,Conservative,4.975873671426938
7.5,Balanced,4.927748642392934
7.5,Progressive,4.890868470051291
7.5,Opportunistic,4.9193779634743215
7.5,Aggressive,4.893936934413545
7.55,Progressive,4.890141692993354
7.55,Opportunistic,4.919055927871605
7.55,Conservative,4.975673150906418
7.55,Balanced,4.9273660741279715
7.55,Aggressive,4.893061891181017
7.6,Balanced,4.9268236872896995
7.6,Progressive,4.889590932797316
7.6,Opportunistic,4.918434905283597
7.6,Aggressive,4.892233637717361
7.6,Conservative,4.975552570325838
7.65,Conservative,4.975352390065416
7.65,Progressive,4.888925760585225
7.65,Opportunistic,4.917914062875649
7.65,Balanced,4.9263413550702255
7.65,Aggressive,4.891901071912528
7.7,Opportunistic,4.917533581631432
7.7,Balanced,4.9260348927249185
7.7,Conservative,4.975131809484835
7.7,Aggressive,4.891336457523666
7.7,Progressive,4.888369890528805
7.75,Balanced,4.925552341825042
7.75,Opportunistic,4.917051014293106
7.75,Conservative,4.974911709344615
7.75,Aggressive,4.890564437051611
7.75,Progressive,4.887702509573109
7.8,Opportunistic,4.916450272628392
7.8,Balanced,4.925131539657976
7.8,Aggressive,4.889914651906771
7.8,Conservative,4.974671569124235
7.8,Progressive,4.887048569921959
7.85,Balanced,4.924725289617019
7.85,Aggressive,4.889242612181387
7.85,Opportunistic,4.91604812357554
7.85,Conservative,4.974471489004034
7.85,Progressive,4.886257837973593
7.9,Conservative,4.974310987620887
7.9,Balanced,4.924443122797518
7.9,Progressive,4.885610218628233
7.9,Opportunistic,4.915567421790143
7.9,Aggressive,4.88853306894126
7.95,Progressive,4.88498251456571
7.95,Balanced,4.924120599311385
7.95,Conservative,4.974170967600868
