Time,strategy,avg_pr
6.75,Cyclic,0.5392262133785737
6.75,Aggressive,0.09003295691574272
6.8,Balanced,0.4383117005336156
6.8,Conservative,0.7775539635958882
6.8,Aggressive,0.089961606853955
6.8,Opportunistic,0.34112820619990714
6.8,Cyclic,0.5393780991019823
6.85,Cyclic,0.539630833648319
6.85,Aggressive,0.09014453049163564
6.85,Opportunistic,0.3412274751732916
6.85,Balanced,0.43752761073606794
6.85,Conservative,0.7776336194365169
6.9,Balanced,0.43778995746900135
6.9,Conservative,0.7775763789995546
6.9,Cyclic,0.5404310045619196
6.9,Aggressive,0.0899090735289535
6.9,Opportunistic,0.34080281851647504
6.95,Cyclic,0.5409820249831567
6.95,Conservative,0.7776609313266475
6.95,Aggressive,0.0903337951930324
6.95,Opportunistic,0.34161434111496747
6.95,Balanced,0.43756259315275003
7.0,Balanced,0.43728569925568567
7.0,Conservative,0.7773381671884476
7.0,Cyclic,0.5400080175209304
7.0,Aggressive,0.08994878850253776
7.0,Opportunistic,0.34213072712017323
7.05,Balanced,0.43825756298181306
7.05,Opportunistic,0.3430804353450123
7.05,Cyclic,0.539939643403415
7.05,Conservative,0.7774976541658815
7.05,Aggressive,0.09009747517853453
7.1,Aggressive,0.09008711002164604
7.1,Conservative,0.7776153929567561
7.1,Cyclic,0.541198552622633
7.1,Opportunistic,0.34265862457366486
7.1,Balanced,0.4378813841564259
7.15,Conservative,0.7779239610966002
7.15,Balanced,0.4375801751801954
7.15,Cyclic,0.5417262714726233
7.15,Aggressive,0.0904531505925124
7.15,Opportunistic,0.34225514176245214
7.2,Cyclic,0.5426549540145207
7.2,Aggressive,0.09061174750413009
7.2,Opportunistic,0.34251386411767926
7.2,Balanced,0.4378436981224852
7.2,Conservative,0.7773194917075072
7.25,Aggressive,0.0907648938628161
7.25,Opportunistic,0.342606135881967
7.25,Conservative,0.7769407785363979
7.25,Balanced,0.4381018703763077
7.25,Cyclic,0.5437090688086057
7.3,Balanced,0.43782344581079896
7.3,Cyclic,0.543125771339457
7.3,Aggressive,0.09091683835295371
7.3,Conservative,0.7762536381282361
7.3,Opportunistic,0.3438005459549743
7.35,Balanced,0.4372761550772614
7.35,Opportunistic,0.3442545408733405
7.35,Cyclic,0.5437981654719826
7.35,Conservative,0.7757844081427945
7.35,Aggressive,0.09115572790205713
7.4,Balanced,0.43709531436109716
7.4,Conservative,0.7759960205062372
7.4,Aggressive,0.09135864745382863
7.4,Cyclic,0.5436939857705274
7.4,Opportunistic,0.3441969447723504
7.45,Aggressive,0.09158431553460038
7.45,Balanced,0.4368151650940802
7.45,Cyclic,0.5443353099174482
7.45,Conservative,0.7758342660978991
7.45,Opportunistic,0.3435105376954426
